about,awards,certifications,contractor_id,id,name,phone,review_count,review_score,reviews_count,state_license_number,url,website,years_in_business
"Our team of Roofing, Siding, Skylight, Chimney, Gutter, and Painting experts at the American Star Contractor Corp love all of our communities throughout NY. Maybe it’s the fact that we live here, and we work here. Or that we have years of experience helping your homes look “just a little bit nicer” because of our work? Maybe it’s because we take pride in the fact that we are consistently rated as one of the leading construction companies in all of New York? We honestly take pride in all of our work, and we love what we do. We hope to help you with any work on your property soon. We’re confident you’ll love what we do! We are just a call away! The professionals at the American Star Contracting Corp will make sure that your queries are dealt with on a priority basis. A team of our professionals will visit your location in Eastchester NY, Westchester NY, West Harrison NY, and Mamaroneck NY. Get experienced, efficient and durable services with the American Star Contracting Corp.


Call us for a FREE ESTIMATE",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1121148,41,American Star Contractor Corp,(862) 418-8171,64,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/american-star-contractor-corp-1121148,https://www.americanstarcontractor.com/,
"LGM General Construction LLC has 30 years of experience of in new roof installation, repairs, and maintenance. Fully insured and Licensed. Our team is extensively trained to deliver prompt, professional service, to help your home look its best",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1112549,42,LGM Roofing Contractor,(973) 604-5166,64,4.9,3,13VH09733600,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bloomfield/lgm-roofing-contractor-1112549,https://www.lgmgc.com/,In business since 2006
"R.K. Roofing, Inc. strives for excellence.  The crews are skilled professionals whose main objective is to get the job done in a speedy yet cautious manner.  Being in the business for over 40 years has earned us a valued reputation of reliability and professionalism.  R.K. Roofing, Inc. carries a wide selection of shingles, siding, gutters & leaders which contributes to the homeowners final decision as to what will make their house feel like a warm and secure home.  Roofing with R.K. Roofing Inc. as stated by the hundreds of homeowners who have trusted in our Company to give the highest quality job at such affordable prices, ""we are homeowner friendly"".  As noted by R.K. Roofing, Inc. the simple pleasure of looking at your roof and knowing it has a degree of elegance and creativity makes the home a much more comfortable abode.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1002346,43,RK Roofing Inc,(862) 529-6612,39,4.9,3,13VH01063600,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/caldwell/rk-roofing-inc-1002346,https://www.streetbond.com/coatings,
"B & W Group Inc. has been providing professional roofing and siding services in NY, NJ and CT. We strive to satisfy our customers with high quality product that will last leak free for years. No matter the size of the project B & W Group will provide peace of mind backed by the best GAF Gaolden Pledge warranty.
B & W Group as GAF Solar Elite Contractor now offers the DecoTech Solar Rooding System. It’s a elegant low profile high output solar panels that deliver optimal performance for affordable price. B & W Group can install both the DecoTech System and roofing system at the same time wrapped under one warranty backed by GAF.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1003008,44,B&W Group Inc,(914) 999-9891,37,4.9,3,HIC.0650244,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/montvale/bw-group-inc-1003008,https://www.roofingwestchesterny-hq.com/,In business since 2016
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1139996,45,MK Best Roofing,(934) 414-6585,36,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/roosevelt/mk-best-roofing-1139996,https://www.streetbond.com/coatings,In business since 2019
"Prodigy Contracting Inc has over 20 years experience in roofing.  We are a Veteran owned business, we have protected our great country so now let us protect your beautiful  home with he highest quality shingle in GAF.  ""We got you covered""",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1103991,46,Prodigy Contracting Inc,(934) 414-6797,36,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/franklin-square/prodigy-contracting-inc-1103991,https://www.prodigycontracting.net/,
"We are here to help with your home roofing needs.
Easy process from the first call to a beautiful new roof.
Call today.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1002371,47,Rebuild America,(516) 540-7978,29,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/mineola/rebuild-america-1002371,https://www.streetbond.com/coatings,
"A Real Advantage Inc is a trusted fully licensed and insured family owed and operated construction company.  It is our goal to work with the community hand in hand, improving our neighborhood one job at a time.  We have an A+ rating with the Better Business Bureau (BBB) since 1992 and associated with Angie's list since 2011.  At A Real Advantage we take extreme pride in the honest and dependable services that we have to offer.  Estimates are FREE, so please call today for your complimentary estimate and let us show you the Real Advantage in home construction today!  Please feel free to visit our website to review more information on our company and the other services we have to offer.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1002963,48,A Real Advantage Inc,(929) 933-2698,23,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/jamaica/a-real-advantage-inc-1002963,https://www.streetbond.com/coatings,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1136285,49,ADH Group,(929) 674-6592,568,4.8,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/jackson-heights/adh-group-1136285,https://www.streetbond.com/coatings,In business since 2015
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1118752,50,A&J Professional Services Inc,(908) 883-6754,213,4.8,3,13VH03110900,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-plainfield/aj-professional-services-inc-1118752,https://ajproroofers.com/,In business since 2004
"Service provided: Siding, Roofing, Gutters, Windows. Family Owned and operated since 1994. Serving Staten Island NY, Brooklyn NY, Central New Jersey.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1103353,51,B&B Siding and Roofing,(929) 730-7801,157,4.8,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/bb-siding-and-roofing-1103353,https://www.bbsiding.com/,In business since 1994
"SECI Construction Inc has been in business for 50 years! We are family owned and operated. We serve all of NJ, Eastern PA, NY, and CT from our multiple locations. We specialize in Roofing, Siding, Windows, and Masonry.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1136200,52,Seci Construction Inc,(844) 819-9265,122,4.8,3,13VH01502700,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/clifton/seci-construction-inc-1136200,https://www.seciconstructioninc.com/,In business since 2006
"At J. Salvatore & Sons, Inc., we know that you have a choice in choosing a contractor and we'd like that choice to be us. Choose us for our excellent workmanship, unparalleled work ethic, affordable prices, and expertise.

J. Salvatore & Sons Roofing, a family business, successfully serving its respected customers since 1921 in New York and the Tri-state area. We know how important is to maintain and repair your family home, commercial building, warehouse or office.

As one of the oldest roofing contractor companies among Bronx Roofing Contractors, Manhattan Roofing Contractors, Queens Roofing Contractors, expert NY Roofers, dependable New York Roofing Company, whom serving New York City and NY State, we are licensed, bonded and fully insured. We provide written guarantees, free estimate, inspection and assistance with your roofing project(s). We specialized in Slate, Tile, Wood, Metal & Cooper roofing. - See more at: http://www.nyroofer.com",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1003498,53,J Salvatore & Sons Inc,(914) 786-4839,89,4.8,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/yonkers/j-salvatore-sons-inc-1003498,https://www.nyroofer.com/,In business since 1921
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1119153,54,Big Apple Renovators,(929) 667-7480,26,4.8,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/astoria/big-apple-renovators-1119153,https://www.streetbond.com/coatings,In business since 2016
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1124212,55,Victory Home Remodeling LLC,(908) 258-6841,1939,4.7,3,13VH10669300,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/edison/victory-home-remodeling-llc-1124212,https://www.victoryhrg.com/,In business since 2019
"Dior Construction is a family owned and operated company specializing in all systems of roofing for residential and commercial properties. From shingle roofs to flat roofs and everything in between, Dior Construction is your trusted neighborhood provider for premium roof installation. We understand any renovation can be intimidating, and we will guide you through the process of installing your new roof to guarantee your satisfaction. At Dior Construction, we care about our clients, and we maintain ongoing relationships to ensure our projects stand the test of time.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1104750,56,Dior Construction,(551) 373-9861,273,4.7,3,13VH07935700,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bergenfield/dior-construction-1104750,https://www.diorconstruction.com/,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1100471,57,Window Depot USA of Lower NY,(516) 464-5672,206,4.7,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/south-hempstead/window-depot-usa-of-lower-ny-1100471,https://www.streetbond.com/coatings,In business since 2011
"Royal Renovators Inc. is a fully licensed and insured full-service roofing and other exterior renovations company with offices throughout the New York City area, including Queens, Brooklyn, Manhattan, the Bronx as well as Long Island. Our employees are committed to providing the highest quality service, both workmanship and customer service. Our reputation for quality has been recognized by hundreds of 5-star ratings on Google, YELP, Angie's List, and other such review websites. Royal is also BBB Accreditation with an A+ rating, is a GAF Master Elite shingle roofing contractor and in the GAF President's Club. Thousands of projects have been completed for happy property owners, and our honors and awards reflect that we are Brooklyn and Queens top roofing contractor, because we treat our customers like royalty while keeping costs down. Contact us today to set up your fast & free at-home estimate.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1109076,58,Royal Renovators Inc,(929) 734-8220,169,4.7,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/forest-hills/royal-renovators-inc-1109076,https://www.nycrenovators.com/,
"Kamtech Restoration Corp is a family-owned contractor located right here in NYC between Dyker Heights and Bensonhurst in Brooklyn. We specialize in roofing and installing SOLAR energy across the 5 boroughs in New York City, Long Island and in New Jersey. We install for our own customers and as a subcontractor for many vendors. Our internal residential and commercial solar division is Kamtech Solar Solutions.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1112005,59,Kamtech Restoration Corp,(347) 967-4025,122,4.7,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/kamtech-restoration-corp-1112005,https://www.streetbond.com/coatings,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1103391,60,Window Galaxy USA,(888) 434-1179,100,4.7,3,13VH06595400,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-amboy/window-galaxy-usa-1103391,https://www.streetbond.com/coatings,In business since 2005
"At SmartRoof, our innovative roofing and solar solutions turn home improvement dreams into reality; transforming homes and empowering lives with energy-efficient upgrades.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1141740,61,SmartRoof LLC,(877) 539-1817,85,4.7,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/parsippany/smartroof-llc-1141740,https://smartroofinc.com/,In business since 2016
"We believe that quality craftsmanship and design are just the beginning in installing a successful roofing system. We go beyond the basics with our innovative maintenance programs, extended warranties and great customer service ensuring our customers' satisfaction and their roof's long term performance.

We pride ourselves on long-term relationships with our clients.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1111750,62,All Pro Roofing & Siding Inc,(929) 995-5641,82,4.7,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/all-pro-roofing-siding-inc-1111750,https://www.streetbond.com/coatings,
"Tico’s Carpentry and Roofing, LLC. is a fully licensed registered and insured company located in Union, NJ. With over 15 years of combined experience, we specialize in building and remodeling projects; not only do we build it well, but we build it the best way. We pride ourselves at being masters of our trade. Most importantly, we all share a commitment to quality work and attention to detail. We approach each project with enthusiasm and finish with pride.

Tico’s strives in making all of our projects to be of the highest quality, but also to be completed efficiently and on schedule. Your carpentry or roofing project must be done with thorough planning and accurate estimating. You need to feel complete confidence in the work and the company that does it. No matter what type of project you may be planning, Tico’s Carpentry and Roofing, LLC. has the knowledge and experience to guarantee the project is professionally done within the budget.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1001885,63,Tico's Carpentry and Roofing LLC,(908) 921-2841,30,4.7,3,13VH05483900,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/union/ticos-carpentry-and-roofing-llc-1001885,https://www.streetbond.com/coatings,In business since 2004
"KING OF ROOFING!! We have been serving Staten Island and New Jersey for over 35 years, offering superior service and utilizing only the best materials and installation roofing techniques for your home or building. We are full service, fully licensed and insured roofing contractors who are happy to provide you with a free ROOF ESTIMATE. Call Us today at 929-661-9860",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1103443,64,Gorman & Carbone Roofing Contractors,(929) 661-9860,27,4.7,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/gorman-carbone-roofing-contractors-1103443,https://www.streetbond.com/coatings,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1000574,65,Multi Roofing System Inc,(848) 361-5603,19,4.7,3,13VH06481000,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/edison/multi-roofing-system-inc-1000574,https://www.streetbond.com/coatings,
Family owned business since 1989.,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1100517,66,RJ Construction,(862) 398-1581,14,4.7,3,13VH01960100,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/orange/rj-construction-1100517,https://www.rjconstructionnj.net/,
"As the nation’s largest full-service exterior home remodeler, we are backed by over 1,000+ Angi Super Service awards and more than one million happy customers. Why? Because we treat each job as an audition. An opportunity to prove ourselves to you. And the results speak for themselves. So make your home all it was meant to be with our unrivaled exterior services. Contact us today for a free, no obligation estimate on replacement windows, roofing, siding, doors, attic insulation or solar.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1103336,67,Power Home Remodeling,(908) 460-3768,4147,4.6,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/edison/power-home-remodeling-1103336,https://powerhrg.com/,In business since 1992
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1002062,68,Abraham Roofing,(833) 323-1132,87,4.6,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/lynbrook/abraham-roofing-1002062,https://www.streetbond.com/coatings,
"With over 30 years in the business, Acorn Home Improvements has earned our reputation as one of the premier home improvement contractors in the area. We specialize in Vinyl Siding, Windows, Roofing and Insulation. Acorn has a firm belief that quality materials, state-of-the-art equipment, experienced, well-trained installers, and a highly educated, no pressure sales team are critical to supplying our customers with the no-hassle, high-quality home improvement projects they deserve.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1006133,69,Acorn Home Improvements Inc,(973) 793-1019,69,4.6,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/whippany/acorn-home-improvements-inc-1006133,https://www.acornhomeimprovements.com/,
"Reliable Roofing Specialists in Middletown Township, NJ
Since 1970, Garden State Roofing & Siding Inc., in Middletown, NJ, has provided quality roofing service in New Jersey and the surrounding area. We provide professional roofing services, including new construction, tear-offs, re-roofing, TPO, and EPDM commercial roofing systems. Our skilled technicians work with all roofing systems to ensure you receive the best possible service. At Garden State Roofing & Siding, we pride ourselves on our commitment to quality, and that's why we are GAF Master Elite Roofing certified. Our team of experienced and certified technicians can easily tackle any roofing project, ensuring you receive top-notch workmanship every time. Our experienced team also offers siding, gutters, windows, and more. Whether you need a minor repair or a complete replacement, our professionals are here to help. You can trust that you're working with the best. We offer financing options to make your roofing project more manageable, emergency service, and free estimates. Contact us at 732-769-3904 to schedule your roofing services and experience the difference.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1101248,70,Garden State Roofing & Siding,(732) 769-3904,48,4.6,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/north-middletown/garden-state-roofing-siding-1101248,https://gsroofingnj.com/,In business since 1971
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1123198,71,Abraham Roofing & Siding,(862) 424-7728,10,4.6,3,13VH10634300,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/union/abraham-roofing-siding-1123198,https://www.streetbond.com/coatings,In business since 2019
"Homestead is a long established roofing company established in 1930.  We have built trust in the industry through excellent workmanship and knowledge.  Homestead Roofing installs all residential and commercial roofing systems throughout Northern New Jersey.  Our work also entails roof repairs, gutters, leaders, residential flat roofs, slate, metal roofs and all types of commercial roof systems and repairs.  Since ""1930"" we must be doing something right.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1100174,72,Homestead Roofing Company,(551) 733-6274,122,4.5,3,13VH00211100,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/ridgewood/homestead-roofing-company-1100174,https://www.streetbond.com/coatings,
"My name is Lester Waxman, President of Classic Remodeling.  I know that finding the perfect home is nearly impossible. Usually, an older house needs some fixing up and in many instances, new siding, roofing or windows will make your home look new again. In an industry fraught with horror stories of poor quality, open ended contracts and unpredictable scheduling, the Classic Remodeling Corp. stands apart as a unique alternative. We are proud of the fact that family after family on the same street recommend us and have used our services. Call for a honest roof, window or siding evaluation. Thank You",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1005319,73,Classic Remodeling Corp,(201) 971-6534,51,4.5,3,13VH00029400,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/hackensack/classic-remodeling-corp-1005319,https://www.classicremodeling-nj.com/,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1003072,74,Premium Home Improvements,(908) 679-5740,47,4.5,3,13VH00394900,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/berkeley-heights/premium-home-improvements-1003072,https://www.premiumhomeimprovements-nj.com/,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1136966,75,JC Master Inc,(929) 995-4005,105,4.2,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/richmond-hill/jc-master-inc-1136966,https://jcmasterinc.net/,In business since 2021
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1006185,76,FM Construction Group LLC,(862) 437-3725,34,4.2,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/east-orange/fm-construction-group-llc-1006185,https://www.streetbond.com/coatings,In business since 2014
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1109046,77,American Siding Construction Corp,(551) 372-0304,26,4.1,3,13VH04322000,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/newark/american-siding-construction-corp-1109046,https://www.americansidingconstruction.com/,
"A-1 Affordable Construction stands out with over 30 years of trusted experience in roofing across NJ, NY, and PA. As a fully licensed and insured company, we combine expert craftsmanship with honest service—so you get dependable results, done right the first time. Your home is our priority, and we treat it like our own. Additional services: Chimneys, Gutters & Masonry.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1106994,78,A1 Affordable Construction,(844) 344-5115,403,4,3,13VH00843200,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/clifton/a1-affordable-construction-1106994,https://www.a1affordable.com/roofing,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1101120,79,Pravco Inc,(848) 236-1141,9,4,1,13VH01275400,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/rahway/pravco-inc-1101120,https://www.streetbond.com/coatings,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1005773,80,S&S Roofing Inc,(848) 212-8886,8,4,3,13VH02402500,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/carteret/ss-roofing-inc-1005773,https://www.streetbond.com/coatings,In business since 1989
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1004877,81,Nations Roof East LLC,(914) 979-7446,4,4,0,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/yonkers/nations-roof-east-llc-1004877,https://www.streetbond.com/coatings,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1000630,82,Northeast Roof Maintenance Inc,(848) 348-6612,2,3,3,13VH00474100,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/perth-amboy/northeast-roof-maintenance-inc-1000630,https://www.streetbond.com/coatings,In business since 1993
"Blake Windows,Siding & Roofing has over 30 years experience in the home improvement industry. What is important to us is honesty, integrity and producing excellent work at fair prices. 
We offer free estimates and consultations.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1002509,83,Blake Windows Siding & Roofing,(516) 549-5255,,,0,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-hyde-park/blake-windows-siding-roofing-1002509,https://www.streetbond.com/coatings,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1116337,84,Carework Construction LLC,(551) 372-7408,,,0,13VH08728200,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/lyndhurst/carework-construction-llc-1116337,https://www.streetbond.com/coatings,In business since 2014
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1103788,85,Mezini Roofing LLC,(201) 992-5166,,,0,13VH06689000,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/clifton/mezini-roofing-llc-1103788,https://www.streetbond.com/coatings,In business since 2012
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1116496,86,Niko K Construction Corp,(332) 900-7201,,,0,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/flushing/niko-k-construction-corp-1116496,https://www.streetbond.com/coatings,In business since 2013
"REK Roofing. is a full-service residential & commercial roofing contractor, serving the New Jersey area for over a decade. No matter how big or small the job is we are dedicated to exceeding your expectations in every way. Furthermore, we guarantee honest prices in order to fit your budget.
Our expertise combined with our commitment to optimal customer service is what makes REK Roofing. one of the highest rated Roofing contractors establishments in the state. Call us today to schedule a free consultation

REKroofing.com",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1111401,87,REK Roofing Services,(332) 900-5958,,,0,13VH08086300,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/tenafly/rek-roofing-services-1111401,https://www.streetbond.com/coatings,
